,,Sensitivity,,Specificity
10465,3.645,0.97,4.331,0.99
10466,3.645,0.97,4.331,0.99
10467,3.645,0.97,4.331,0.99
10468,3.645,0.97,4.331,0.99
10469,3.645,0.97,4.331,0.99
10470,3.645,0.97,4.331,0.99
10471,2.866,0.95,-12.11,0.00
10472,3.139,0.96,-3.694,0.02
10473,3.139,0.96,-3.694,0.02
10474,3.139,0.96,-3.694,0.02
10475,3.587,0.97,-0.8806,0.29
10476,3.491,0.97,2.477,0.92
10477,3.491,0.97,2.477,0.92
10478,3.491,0.97,2.477,0.92
10479,3.491,0.97,2.477,0.92
10480,3.491,0.97,2.477,0.92
10481,4.414,0.99,-17.03,0.00
10482,1.403,0.80,10.69,1.00
10483,1.403,0.80,10.69,1.00
10484,1.403,0.80,10.69,1.00
10485,1.403,0.80,10.69,1.00
10486,1.403,0.80,10.69,1.00
10487,1.403,0.80,10.69,1.00
10488,1.403,0.80,10.69,1.00
10489,2.418,0.92,5.77,1.00
10490,2.418,0.92,5.77,1.00
10491,3.608,0.97,1.931,0.87
10492,3.608,0.97,1.931,0.87
10493,3.608,0.97,1.931,0.87
10494,3.608,0.97,1.931,0.87
10495,4.732,0.99,7.548,1.00
10496,4.732,0.99,7.548,1.00
10497,4.732,0.99,7.548,1.00
10498,4.732,0.99,7.548,1.00
10499,4.732,0.99,7.548,1.00
10500,2.638,0.93,5.493,1.00
10501,3.111,0.96,-7.822,0.00
10502,3.097,0.96,-3.658,0.03
10503,3.097,0.96,-3.658,0.03
10504,2.015,0.88,10.64,1.00
10505,2.015,0.88,10.64,1.00
10506,2.015,0.88,10.64,1.00
10507,2.015,0.88,10.64,1.00
10508,2.015,0.88,10.64,1.00
10509,2.015,0.88,10.64,1.00
10510,2.015,0.88,10.64,1.00
10511,3.516,0.97,-4.237,0.01
10512,3.516,0.97,-4.237,0.01
10513,3.638,0.97,17.16,1.00
10514,3.638,0.97,17.16,1.00
10515,3.337,0.97,5.648,1.00
10516,2.154,0.90,2.466,0.92
10517,2.154,0.90,2.466,0.92
10518,2.154,0.90,2.466,0.92
10519,2.154,0.90,2.466,0.92
10520,2.154,0.90,2.466,0.92
10521,3.62,0.97,-3.146,0.04
10522,3.62,0.97,-3.146,0.04
10523,3.62,0.97,-3.146,0.04
10524,4.64,0.99,9.379,1.00
10525,2.981,0.95,6.7,1.00
10526,2.981,0.95,6.7,1.00
10527,3.627,0.97,7.638,1.00
10528,3.627,0.97,7.638,1.00
10529,3.627,0.97,7.638,1.00
10530,3.627,0.97,7.638,1.00
10531,3.149,0.96,-0.3121,0.42
10532,3.149,0.96,-0.3121,0.42
10533,3.149,0.96,-0.3121,0.42
10534,3.149,0.96,-0.3121,0.42
10535,3.149,0.96,-0.3121,0.42
10536,2.619,0.93,14.44,1.00
10537,2.619,0.93,14.44,1.00
10538,2.619,0.93,14.44,1.00
10539,2.619,0.93,14.44,1.00
10540,2.619,0.93,14.44,1.00
10541,4.143,0.98,-4.542,0.01
10542,3.371,0.97,14.24,1.00
10543,3.371,0.97,14.24,1.00
10544,2.433,0.92,10.24,1.00
10545,3.585,0.97,4.518,0.99
10546,3.585,0.97,4.518,0.99
10547,3.585,0.97,4.518,0.99
10548,3.585,0.97,4.518,0.99
10549,3.585,0.97,4.518,0.99
